,ds,y_actual,yhat
332,2017-12-17,19140.80078125,18545.229
333,2017-12-18,19114.19921875,19012.857
334,2017-12-19,17776.69921875,18868.188
335,2017-12-20,16624.599609375,18241.01
336,2017-12-21,15802.900390625,17385.102
337,2017-12-22,13831.7998046875,16095.771
338,2017-12-23,14699.2001953125,15307.786
339,2017-12-24,13925.7998046875,14605.03
340,2017-12-25,14026.599609375,14185.506
341,2017-12-26,16099.7998046875,14574.611
342,2017-12-27,15838.5,15043.469
343,2017-12-28,14606.5,15103.618
344,2017-12-29,14656.2001953125,15066.351
345,2017-12-30,12952.2001953125,14502.805
346,2017-12-31,14156.400390625,14288.651
347,2018-01-01,13657.2001953125,14016.293
348,2018-01-02,14982.099609375,14159.775
349,2018-01-03,15201.0,14422.06
350,2018-01-04,15599.2001953125,14801.202
351,2018-01-05,17429.5,15673.995
352,2018-01-06,17527.0,16478.78
353,2018-01-07,16477.599609375,16779.49
354,2018-01-08,15170.099609375,16479.486
355,2018-01-09,14595.400390625,15908.231
356,2018-01-10,14973.2998046875,15482.392
357,2018-01-11,13405.7998046875,14718.614
358,2018-01-12,13980.599609375002,14276.061
359,2018-01-13,14360.2001953125,14116.606
360,2018-01-14,13772.0,13942.301
361,2018-01-15,13819.7998046875,13890.123
362,2018-01-16,11490.5,13263.728
363,2018-01-17,11188.599609375,12608.412
364,2018-01-18,11474.900390625,12159.221
365,2018-01-19,11607.400390625,11873.969
366,2018-01-20,12899.2001953125,12049.772
367,2018-01-21,11600.099609375,11950.859
368,2018-01-22,10931.400390625,11685.379
369,2018-01-23,10868.400390625,11418.372
370,2018-01-24,11359.400390625,11329.702
371,2018-01-25,11259.400390625,11293.136
372,2018-01-26,11171.400390625,11269.142
373,2018-01-27,11440.7001953125,11321.255
374,2018-01-28,11786.2998046875,11458.869
375,2018-01-29,11296.400390625,11460.592
376,2018-01-30,10106.2998046875,11142.845
377,2018-01-31,10221.099609375,10845.537
378,2018-02-01,9170.5400390625,10359.113
379,2018-02-02,8830.75,9882.31
380,2018-02-03,9174.91015625,9601.938
381,2018-02-04,8277.009765625,9228.524
382,2018-02-05,6955.27001953125,8621.146
383,2018-02-06,7754.0,8300.208
384,2018-02-07,7621.2998046875,8080.9814
385,2018-02-08,8265.58984375,8104.7397
386,2018-02-09,8736.98046875,8308.857
387,2018-02-10,8621.900390625,8482.533
388,2018-02-11,8129.97021484375,8500.007
389,2018-02-12,8926.5703125,8655.702
390,2018-02-13,8598.3095703125,8713.185
391,2018-02-14,9494.6298828125,8943.174
392,2018-02-15,10166.400390625,9309.194
393,2018-02-16,10233.900390625,9650.627
394,2018-02-17,11112.7001953125,10137.039
395,2018-02-18,10551.7998046875,10400.132
396,2018-02-19,11225.2998046875,10718.972
397,2018-02-20,11403.7001953125,11008.899
398,2018-02-21,10690.400390625,11036.233
399,2018-02-22,10005.0,10827.62
400,2018-02-23,10301.099609375,10681.992
401,2018-02-24,9813.0703125,10442.172
402,2018-02-25,9664.73046875,10201.346
403,2018-02-26,10366.7001953125,10200.653
404,2018-02-27,10725.599609375,10346.008
405,2018-02-28,10397.900390625,10435.581
406,2018-03-01,10951.0,10645.953
407,2018-03-02,11086.400390625,10858.684
408,2018-03-03,11489.7001953125,11116.009
409,2018-03-04,11512.599609375,11323.551
410,2018-03-05,11573.2998046875,11471.194
411,2018-03-06,10779.900390625,11360.669
412,2018-03-07,9965.5703125,11007.553
413,2018-03-08,9395.009765625,10528.139
414,2018-03-09,9337.5498046875,10118.381
415,2018-03-10,8866.0,9703.512
416,2018-03-11,9578.6298828125,9582.537
417,2018-03-12,9205.1201171875,9480.691
418,2018-03-13,9194.849609375,9428.768
419,2018-03-14,8269.8095703125,9187.531
420,2018-03-15,8300.8603515625,8978.433
421,2018-03-16,8338.349609375,8814.332
422,2018-03-17,7916.879882812499,8594.385
423,2018-03-18,8223.6796875,8488.968
424,2018-03-19,8630.650390625,8520.966
425,2018-03-20,8913.4697265625,8640.999
426,2018-03-21,8929.2802734375,8769.994
427,2018-03-22,8728.4697265625,8831.828
428,2018-03-23,8879.6201171875,8905.291
429,2018-03-24,8668.1201171875,8910.902
430,2018-03-25,8495.7802734375,8861.215
431,2018-03-26,8209.400390625,8734.413
432,2018-03-27,7833.0400390625,8525.197
433,2018-03-28,7954.47998046875,8369.569
434,2018-03-29,7165.7001953125,8081.2046
